25,62
12,33
13,11
34,63
20,67
46,55
15,17
1,15
19,27
53,50
63,57
21,4
24,63
27,3
13,12
25,9
15,63
33,51
7,33
45,23
31,58
59,67
57,57
37,5
17,12
43,67
32,57
15,59
70,63
63,49
16,7
9,31
9,62
37,9
25,19
56,43
17,29
68,59
33,5
8,11
13,32
39,63
35,62
1,5
65,45
19,2
57,69
65,41
13,5
29,15
41,64
9,8
3,26
7,18
15,24
9,14
35,6
25,69
25,3
27,55
66,49
16,23
50,69
32,13
40,57
50,53
23,3
57,61
5,9
62,39
51,61
22,5
11,11
51,66
17,17
63,60
8,5
22,23
43,3
11,29
55,66
55,43
13,3
5,30
55,55
6,17
16,53
25,60
38,61
25,11
9,13
11,10
7,63
45,68
49,57
58,51
13,21
41,11
11,33
13,24
3,36
35,70
16,31
44,3
35,11
59,63
41,70
38,13
26,57
43,20
0,11
35,67
63,65
19,31
55,47
39,55
33,59
22,17
6,15
1,21
61,45
0,29
63,56
9,37
46,63
5,34
51,50
21,54
65,69
35,51
4,13
39,7
3,35
25,47
4,17
55,69
17,25
33,6
12,25
29,67
6,3
31,8
24,17
25,16
15,6
37,65
19,35
5,19
39,3
31,67
37,68
16,9
63,42
11,16
4,33
5,20
50,63
63,54
32,65
49,55
67,59
55,59
65,67
23,61
45,67
32,59
19,56
48,57
1,9
1,16
38,65
15,13
9,5
61,69
61,63
30,7
27,15
47,58
17,4
48,67
39,67
24,59
15,60
51,58
64,57
11,1
41,62
31,61
10,17
61,42
60,57
39,59
43,8
23,11
5,15
36,59
25,64
49,65
9,35
54,63
48,47
11,17
55,68
35,57
14,17
7,1
27,61
6,21
69,68
32,63
41,5
13,13
39,2
27,1
11,60
11,7
15,9
4,7
23,5
21,55
23,55
17,22
44,55
51,3
27,69
23,0
18,7
36,1
39,61
62,59
33,8
19,19
23,32
33,60
18,31
25,68
31,66
7,30
7,25
1,11
49,63
33,69
21,51
53,69
13,29
41,56
23,17
3,4
62,67
13,1
17,57
61,57
13,66
14,31
18,57
9,9
22,57
54,59
23,20
47,53
13,27
51,48
17,59
61,41
11,28
21,61
47,4
15,1
31,63
45,59
19,65
69,67
7,21
2,21
13,14
6,7
15,25
30,61
22,65
5,26
11,3
13,59
1,17
23,19
49,56
59,53
38,9
5,23
28,17
30,5
21,29
9,17
17,34
23,9
13,19
57,48
35,7
42,3
45,7
61,66
25,59
