departure location: 25-863 or 882-957
departure station: 50-673 or 690-972
departure platform: 25-312 or 321-959
departure track: 48-337 or 358-971
departure date: 31-458 or 476-957
departure time: 32-800 or 821-973
arrival location: 34-502 or 528-951
arrival station: 30-650 or 662-957
arrival platform: 50-148 or 160-966
arrival track: 27-572 or 587-969
class: 46-893 or 913-964
duration: 36-161 or 179-962
price: 38-294 or 311-965
route: 26-391 or 397-962
row: 28-111 or 122-967
seat: 48-65 or 84-973
train: 33-827 or 839-960
type: 47-436 or 454-959
wagon: 45-136 or 147-959
zone: 36-252 or 275-957

your ticket:
179,101,223,107,127,211,191,61,199,193,181,131,89,109,197,59,227,53,103,97

nearby tickets:
797,604,555,482,170,789,928,930,331,605,402,720,924,743,852,61,213,713,540,51
88,569,789,136,693,294,749,717,503,294,740,696,849,415,703,716,383,693,557,136
174,778,823,850,587,714,282,181,483,148,288,616,741,105,643,594,367,602,857,379
131,554,492,542,553,329,201,825,887,203,591,200,395,778,947,179,539,565,696,845
862,845,550,641,289,16,632,86,637,672,205,647,733,593,490,480,949,551,762,931
764,749,417,705,919,944,158,928,937,564,943,130,427,387,161,885,755,98,282,401
179,311,600,126,884,427,362,821,478,208,641,591,358,53,549,750,146,569,160,735
213,223,623,192,569,562,208,281,631,717,206,528,402,899,764,52,242,477,943,488
456,794,533,243,228,94,671,316,852,107,797,824,945,538,335,129,725,738,321,362
481,637,210,727,885,672,62,936,417,229,189,553,947,234,936,938,886,206,15,497
234,792,64,209,232,587,626,109,225,390,884,126,743,253,312,323,480,482,783,229
390,784,182,943,616,617,628,760,921,718,796,388,824,97,737,455,704,904,883,839
607,275,749,203,721,109,500,559,563,648,606,796,540,291,489,102,543,396,778,642
201,110,535,401,700,763,632,940,102,238,949,55,889,194,488,102,655,499,247,358
942,321,132,368,668,891,550,545,786,219,730,665,646,489,839,906,892,794,774,207
781,400,946,531,189,280,294,408,286,360,650,949,179,828,773,940,389,363,642,421
361,64,486,883,709,518,824,405,629,226,800,916,90,748,841,386,670,789,552,547
549,358,206,935,718,290,237,781,382,599,826,629,645,670,127,738,377,980,425,206
241,891,148,791,147,698,499,345,57,890,916,846,588,478,92,598,536,426,736,727
534,57,92,4,249,594,741,941,183,131,824,235,199,884,785,494,561,714,92,946
60,902,596,491,97,627,107,287,944,226,858,91,892,642,548,790,699,860,110,278
104,925,217,924,57,942,662,664,243,366,826,53,402,275,607,936,736,412,918,395
184,403,793,530,21,556,491,821,491,432,358,851,758,845,555,535,733,925,557,188
890,369,387,96,709,164,379,225,737,795,124,62,884,855,252,744,278,401,211,845
849,283,186,919,231,55,244,291,693,765,57,496,705,342,291,553,291,617,557,283
771,785,941,386,752,891,496,636,454,184,726,840,886,755,539,509,483,638,748,799
435,703,596,849,818,398,364,702,136,712,128,428,127,547,405,237,612,240,694,589
