119566840879742, 430566433235378, 268387686114969 @ 18, -130, 74
433973471892198, 260061119249300, 263051300077633 @ -16, -170, -118
44446443386018, 281342848485672, 166638492241385 @ 197, 16, 200
102165762267068, 293235409083300, 334966976680379 @ 19, 15, 9
309136088713586, 389177164114113, 550425584489999 @ -190, -76, -196
200646738999134, 287902166440707, 307735317823961 @ -18, 10, 22
20220675054975, 341076721722584, 312699491042075 @ 121, -37, 28
185069726140701, 208617741620427, 322061937615924 @ 95, 120, -21
272847962518124, 292003940163156, 323928914434373 @ -53, -9, -20
74655578395201, 217832940396064, 393411530178059 @ 65, 91, -56
346881253177456, 180432238623373, 274168028477635 @ 40, 284, 8
394072216109686, 265110428733744, 286173083651949 @ 134, -93, -190
382811183259174, 275147350759333, 281759174503969 @ 22, -86, -66
379673844120790, 264139003916364, 347941997621597 @ 134, -57, -518
271190259814106, 281444237877888, 284779832411765 @ 25, -8, 25
244965431440366, 412668386906164, 350596834013769 @ 77, -263, -103
304488581083505, 431119357060255, 385455243164373 @ -123, -194, -94
256354668197090, 267402500413377, 356815597076273 @ -6, 26, -82
369205658987606, 256386215015602, 276645518949721 @ 30, 14, -22
108087436432664, 332682709751646, 352566450139529 @ 72, -39, -26
335105850184286, 464048556041508, 98258921420113 @ -75, -405, 416
325909902735036, 362796309859509, 140359509341884 @ -52, -192, 329
253626200182004, 247728843793474, 137686136674585 @ 9, 58, 282
440351282328917, 247271799691112, 221109121051146 @ -171, 35, 407
266572372410705, 354899126343944, 413548426258060 @ -91, -77, -115
192228734570342, 345491793035910, 261626901012513 @ 6, -66, 78
225929477960677, 241842668991392, 490941185831172 @ -17, 67, -237
192654532791044, 91841497941588, 203153310797195 @ 177, 359, 183
389256835309354, 407643696775532, 361895935384073 @ -257, -119, -32
416512955881909, 248457945466542, 265840652725119 @ 103, 21, -96
359937652141979, 248154474182481, 278858339023475 @ 33, 50, -20
255548733693729, 443803456899881, 377867455881882 @ 89, -356, -177
381376879971722, 227081119973884, 311026563750909 @ 84, 163, -256
