98346,50117
98346,51321
97590,51321
97590,52570
98378,52570
98378,53784
98153,53784
98153,54933
97379,54933
97379,56194
97715,56194
97715,57357
97262,57357
97262,58502
96789,58502
96789,59844
97322,59844
97322,60862
96301,60862
96301,62158
96496,62158
96496,63353
96245,63353
96245,64573
96059,64573
96059,65697
95564,65697
95564,66656
94642,66656
94642,68048
94866,68048
94866,69061
94123,69061
94123,70153
93582,70153
93582,71391
93344,71391
93344,72190
92231,72190
92231,73500
92100,73500
92100,74339
91119,74339
91119,75394
90523,75394
90523,76365
89795,76365
89795,77786
89716,77786
89716,78751
88956,78751
88956,79523
87950,79523
87950,80419
87122,80419
87122,81374
86368,81374
86368,82436
85727,82436
85727,83340
84904,83340
84904,84297
84131,84297
84131,84951
83062,84951
83062,85736
82129,85736
82129,86195
80920,86195
80920,87238
80214,87238
80214,87725
79055,87725
79055,88764
78320,88764
78320,89657
77460,89657
77460,89956
76194,89956
76194,91070
75461,91070
75461,91758
74445,91758
74445,92101
73235,92101
73235,92261
71945,92261
71945,93283
71101,93283
71101,93988
70082,93988
70082,94522
68978,94522
68978,94976
67839,94976
67839,95058
66563,95058
66563,95021
65267,95021
65267,95501
64155,95501
64155,96035
63051,96035
63051,96082
61812,96082
61812,96820
60745,96820
60745,97209
59582,97209
59582,96899
58288,96899
58288,97446
57151,97446
57151,97443
55925,97443
55925,97781
54742,97781
54742,97847
53527,97847
53527,97964
52316,97964
52316,97780
51095,97780
51095,98318
49883,98318
49883,97566
48679,97566
48679,97545
47473,97545
47473,97451
46270,97451
46270,98168
44983,98168
44983,97283
43861,97283
43861,97748
42566,97748
42566,97553
41358,97553
41358,96726
40279,96726
40279,96793
39022,96793
39022,96846
37749,96846
37749,96565
36553,96565
36553,95546
35588,95546
35588,95771
34230,95771
34230,95439
33045,95439
33045,94564
32073,94564
32073,94197
30906,94197
30906,93871
29713,93871
29713,92803
28875,92803
28875,92611
27610,92611
27610,92347
26361,92347
26361,90998
25731,90998
25731,90775
24447,90775
24447,89904
23562,89904
