7996,71682,20824
65814,97168,91045
10845,58354,12688
47862,73916,42043
11469,86944,33897
89860,53303,70111
67086,6394,6038
55057,73703,19896
55297,13468,53589
40356,57295,98609
73724,58644,86562
52647,65949,89675
56970,71859,19968
31124,89517,87854
82701,5273,76862
40532,54147,26027
48433,6247,91136
25889,74615,46171
23222,42757,573
75728,23988,96888
63811,48040,11467
41334,1788,41249
13343,90865,81512
41350,86880,85035
99878,95484,36014
19975,86892,53790
95008,54068,52323
25511,21176,7396
15698,3681,50130
38,48936,95043
53301,15865,97034
62557,6313,5626
64508,7812,31247
14927,11317,2590
38961,11643,71735
11823,37804,5371
31222,24940,31254
74484,90457,46534
33100,9235,41096
59048,39264,21045
35740,5384,9966
76872,74507,94773
4585,75258,54303
84645,39690,58715
44482,59433,93914
40693,6543,16249
92552,38723,66488
80006,71322,37004
59644,36984,39118
28933,90286,77104
50831,4559,6250
29414,25456,80095
63577,21798,34449
11169,12651,80874
68312,72064,47661
48971,13937,17622
30701,46070,34685
9441,93390,61617
3379,84583,78402
66087,54372,62892
64236,79312,73987
32455,5573,92047
63734,64666,62589
81101,82636,97869
13036,85147,94272
87962,75240,68112
21216,65811,86464
16509,552,14197
4489,24438,65206
94671,39291,70033
68628,19580,92438
86181,66747,93096
33043,59386,58280
93049,77782,38034
20002,52094,58011
6241,10233,31249
46721,44324,24745
83616,12306,91099
93003,43066,52692
87252,87915,67734
13203,80276,73055
36228,83147,28820
32217,64494,11066
53057,66690,51438
45884,34963,25896
3708,53210,1553
72421,55820,32310
495,8477,26151
62725,52464,88527
6677,90468,91681
63497,13050,55600
64727,92067,49051
6812,79621,81160
7226,18403,89939
92866,16155,52418
72068,61380,98887
8318,43491,78770
60364,96707,63950
30803,21847,17525
23483,36972,54374
29738,17540,86186
81772,64712,31826
70263,66984,62724
52100,30890,17127
37920,97275,26777
36084,95700,69771
41263,75561,14988
73743,27136,32590
51099,69606,85358
73776,30529,88855
3852,33409,72486
4841,17672,97249
41680,47520,64425
98924,78856,19864
90489,87742,68784
53177,51791,81109
46555,62803,54960
61117,51718,95449
3594,71996,63351
7260,73154,95734
67754,67052,5218
39131,62072,32432
26118,32620,2659
15123,90609,84503
94913,4728,82359
32553,53116,2526
69603,6570,53721
75918,86194,42377
65675,53253,50816
41134,76413,63023
36044,33097,85042
82655,85121,6206
5235,3280,49025
85669,92867,68064
76309,78362,78583
83963,50095,16951
67090,98256,92723
83733,44964,31246
81510,57836,81478
51251,66520,95402
84917,4902,1512
18434,95138,89090
85645,90843,14817
86391,29915,950
